Variable name;Definition of the variable;Units of measurement;Data Source;Coding;Value ranges;Missing data coding;Source of missing values
unique.id;Unique ID identifies each unique film. If a film appeared in more than one sample festivals, it will be assigned one unique ID, regardless of the number of appearances and screenings. ;each row corresponds to film's appearance in first screening in a given festival in a given year;ID was assigned during data processing;numeric and text data;numeric and text data;no missing data;no missing data
imdb.id;If available, ID assigned by the International Movie database as of December 2020.;each row corresponds to film's appearance in first screening in a given festival in a given year;Created after identification of films on IMDb;numeric and text data ;numeric and text data ;NA - no data available;films not identified on IMDb
festival.id;Unique ID identifies a unique film festival. If a festival appeared in more than one year, it will be assigned one unique ID, regardless of the number of year edditions. ;each row corresponds to film's appearance in first screening in a given festival in a given year;ID was assigned during data processing;numeric and text data ;numeric and text data;no missing data;no missing data
title.mixed;Title of the film as appeared in the program (i.e., while most of the titles are in english, it can also be in other languages).;each row corresponds to film's appearance in first screening in a given festival in a given year;Title identified in the given festival program;title as identified in the given festival program;text data ;no missing data;no missing data
fest.name;Standardized name of a festival ;each row corresponds to film's appearance in first screening in a given festival in a given year;Title assigned during the standartisation of the festival name;title assigned during the standartisation of the festival name;text data ;no missing data;no missing data
fest.label;Short version of a festival name for to make visualization easier;each row corresponds to film's appearance in first screening in a given festival in a given year;"Short version of the variable ""fest.name""";"Short version of the variable ""fest.name""";text data ;no missing data;no missing data
event;Name of a festival as listed on IMDb (not standardized, so the same festival can have differenet name versions);each row corresponds to film's appearance in first screening in a given festival in a given year;Festival name as stated on IMDb ;Festival name as stated on IMDb ;text data ;no missing data;no missing data
event.year;Year edition of the festival listed in fest.name, fest.label, and event.;each row corresponds to film's appearance in first screening in a given festival in a given year;Year as enetered on IMDb ;Year as enetered on IMDb limited to 2019. No data after 2019 were collected. ;1934-2019;no missing data;no missing data
event.month;Month of the festival listed in fest.name, fest.label, and event.;each row corresponds to film's appearance in first screening in a given festival in a given year;Month as enetered on IMDb. Where possible missing data were replaced by the data from Festival Library and web search. ;Month as enetered on IMDb. Where possible missing data were replaced by the data from Festival Library and web search. ;1-12;NA - no data available;no data on festival's moth were available 
event.date;Date of the festival listed in fest.name, fest.label, and event.;each row corresponds to film's appearance in first screening in a given festival in a given year;Date as enetered on IMDb. Where possible missing data were replaced by the data from Festival Library and web search. ;Date as enetered on IMDb. Where possible missing data were replaced by the data from Festival Library and web search. ;1-31;NA - no data available;no data on festival's date were available 
event.country;Location of the festival listed in fest.name, fest.label, and event in a given year.;each row corresponds to film's appearance in first screening in a given festival in a given year;Country as enetred on IMDb and standardized in case of different versions of the name ;Country as enetred on IMDb and standardized in case of different versions of the name ;text data ;no missing data;no missing data
fest.count;Count of unique festivals for each unique film.;each row corresponds to film's appearance in first screening in a given festival in a given year;Festivals listed on IMDb and standardized within the project.;Count of unique festivals for each unique film (if a films is shown at the same festival in two different years, it is counted as one unique festival). ;1-133;no missing data;no missing data
fest.run.month;Length of the festival run in months.;each row corresponds to film's appearance in first screening in a given festival in a given year;Coded based on event.year, event.month, and event.date;Coded based on event.year, event.month, and event.date;0-938;NA - no data available;no data on festival's date were available 
