imdb.id,company.type,company.name,company.id
tt0019760,production,Vseukrainske Foto Kino Upravlinnia (VUFKU),co0020515
tt0019760,distributor,National Film Preservation Foundation,co0099338
tt0019760,distributor,BFI Video,co0106328
tt0019760,distributor,Image Entertainment,co0013585
tt0019760,distributor,Kino Video,co0029307
tt0019760,distributor,Madman Entertainment,co0114002
tt0019760,distributor,Divisa Home Video,co0117434
tt0019760,distributor,Moskwood Media,co0212816
tt0019760,distributor,Punto Zero,co0220491
tt0019760,distributor,New Star,co0078852
tt0019760,distributor,Triad Video,co0141478
tt0019760,distributor,Yleisradio (YLE),co0013526
tt0019760,distributor,Films sans Frontières,co0046687
tt0019760,distributor,Flicker Alley,co0137734
tt0019760,distributor,Leopardo Filmes,co0341469
tt0019760,distributor,Eureka Entertainment,co0187355
tt0019760,distributor,Amkino Corporation,co0003677
tt0019760,distributor,Kino International,co0047947
tt0019760,distributor,Continental Home Vídeo,co0086059
tt0019760,distributor,Internet Archive,co0113992
tt0023037,production,Ramón Acín,co0078292
tt0023037,distributor,C.P.D.F,co0143761
tt0023037,distributor,Animatógrafo,co0029292
tt0023037,distributor,Panthéon Distribution,co0052592
tt0023037,distributor,Dynit,co0212402
tt0023037,distributor,Films sans Frontières,co0046687
tt0023037,distributor,Kino Video,co0029307
tt0023037,distributor,Leopardo Filmes,co0341469
tt0023037,distributor,Raro Video,co0182402
tt0023037,distributor,Umbrella Entertainment,co0122766
tt0023037,distributor,Versátil Home Vídeo,co0090507
tt0023037,distributor,Yleisradio (YLE),co0013526
tt0024844,production,Argui-Film,co0014315
tt0024844,production,Gaumont-Franco Film-Aubert (G.F.F.A),co0059676
tt0024844,distributor,Gaumont-Franco Film-Aubert (G.F.F.A),co0059676
tt0024844,distributor,Animatógrafo,co0029292
tt0024844,distributor,Artificial Eye,co0053637
tt0024844,distributor,Citel Films,co0016217
tt0024844,distributor,Eye Film Instituut,co0296721
tt0024844,distributor,Janus Films,co0052424
tt0024844,distributor,Kuzui Enterprises,co0285577
tt0024844,distributor,Mikado Film,co0025719
tt0024844,distributor,New Star,co0078852
tt0024844,distributor,New Yorker Films,co0036600
tt0024844,distributor,Senso Films,co0039802
tt0024844,distributor,Sputnik,co0066724
tt0024844,distributor,Svenska Filminstitutet (SFI),co0048118
tt0024844,distributor,A Contracorriente Films,co0296469
tt0024844,distributor,British Film Institute (BFI),co0037450
tt0024844,distributor,Cine Classics,co0029419
tt0024844,distributor,Film Traders Ltd.,co0104015
tt0024844,distributor,Gaumont International,co0064278
tt0024844,distributor,Kinowelt Home Entertainment,co0019532
tt0024844,distributor,Magnus Opus,co0133881
tt0024844,distributor,Malofilm Distribution,co0079266
tt0024844,distributor,Sherlock Home Video,co0147770
tt0024844,distributor,The Criterion Channel,co0804141
tt0024844,distributor,The Criterion Collection,co0044076
tt0025456,production,Gainsborough Pictures,co0103051
tt0025456,distributor,Gaumont British Distributors,co0105966
tt0025456,distributor,Gaumont British Picture Corporation of America,co0026280
tt0025456,distributor,Public Broadcasting Service (PBS),co0039462
tt0025456,distributor,Éditions Montparnasse,co0088082
tt0025456,distributor,Park Circus,co0130598
tt0025456,distributor,"Lopes Freire, Raul",co0365597
tt0028966,production,L'Alliance Cinématographique Européenne (ACE),co0042839
tt0028966,production,Universum Film (UFA),co0021661
tt0028966,distributor,L'Alliance Cinématographique Européenne (ACE),co0042839
tt0028966,distributor,La Société des Films Sirius,co0023064
tt0028966,distributor,Universum Film (UFA),co0021661
tt0028966,distributor,Universum Film (UFA),co0235709
tt0028966,distributor,Mercury Films,co0142100
tt0029089,production,Soyuzkino,co0114111
tt0029089,distributor,Amkino Corporation,co0003677
tt0032553,production,Charles Chaplin Productions,co0028083
tt0032553,production,One Production Company,co0686543
tt0032553,distributor,United Artists,co0026841
tt0032553,distributor,Sonoro Filme,co0008003
tt0032553,distributor,Nederland NV,co0189756
tt0032553,distributor,Triangel Produksjon A/S,co0022195
tt0032553,distributor,Dear Film,co0052819
tt0032553,distributor,Dear International,co0220805
tt0032553,distributor,Actueel Film,co0074101
tt0032553,distributor,Asociace Ceských Filmových Klubu (ACFK),co0084798
tt0032553,distributor,BFI (Collections),co0105987
tt0032553,distributor,BIM Distribuzione,co0008399
tt0032553,distributor,Chapel Distribution,co0258711
tt0032553,distributor,Columbia Pictures,co0050868
tt0032553,distributor,Die Lupe,co0207012
tt0032553,distributor,Inoekino,co0724835
tt0032553,distributor,New Star,co0078852
tt0032553,distributor,Sofilmes,co0049842
tt0032553,distributor,Théâtre du Temple,co0120702
tt0032553,distributor,Arthaus,co0608555
tt0032553,distributor,Atalanta Filmes,co0035879
tt0032553,distributor,Atnine Film,co0537691
tt0032553,distributor,CBS/Fox,co0007496
tt0032553,distributor,Continental Home Vídeo,co0086059
tt0032553,distributor,Creative Design,co0009741
tt0032553,distributor,Emerald,co0108097
tt0032553,distributor,Epoca,co0110063
tt0032553,distributor,HBO Max,co0754095
tt0032553,distributor,Image Entertainment,co0013585
tt0032553,distributor,Key Video,co0021293
tt0032553,distributor,Kinowelt Home Entertainment,co0019532
tt0032553,distributor,MK2 Diffusion,co0068754
tt0032553,distributor,Midas Filmes,co0204243
tt0032553,distributor,Park Circus,co0130598
tt0032553,distributor,Piffl Medien,co0086120
tt0032553,distributor,Playhouse Video,co0113967
tt0032553,distributor,PolyGram Video,co0113340
tt0032553,distributor,Soul media,co0309417
tt0032553,distributor,Spectrum,co0183871
tt0032553,distributor,Süddeutsche Zeitung,co0187098
tt0032553,distributor,The Criterion Channel,co0804141
tt0032553,distributor,The Criterion Collection,co0044076
tt0032553,distributor,Vivarto,co0181424
tt0032553,distributor,Warner Home Video,co0081790
tt0032553,distributor,Warner Home Video,co0094757
tt0032553,distributor,Warner Home Video,co0059995
tt0032553,distributor,Zweitausendeins,co0295619
tt0037871,production,Praesens-Film,co0068224
tt0037871,distributor,Praesens-Film,co0068224
tt0037871,distributor,Films Dispa,co0072691
tt0037871,distributor,Héraut Film,co0048843
tt0037871,distributor,Metro-Goldwyn-Mayer (MGM),co0007143
tt0037871,distributor,Atlas Television Corporation,co0151298
tt0037871,distributor,Mill Creek Entertainment,co0172129
tt0037871,distributor,Sinister Cinema,co0059103
tt0037871,distributor,Synergy Entertainment,co0230066
tt0038334,production,Coopérative Générale du Cinéma Français,co0020379
