imdb.id,languages,genres,rating,n.ratings,budget,openingUSA,grossUSA,grossWorld
tt0408306,NA,NA,NA,NA,NA,NA,NA,NA
tt2492916,English,Documentary | Biography | History | Music,7.7,3634,NA,"$13,901, 29 September 2013","$696,241","$709,415"
tt3276852,Gujarati,Documentary,7.4,155,"CHF300,000 (estimated)",NA,NA,NA
tt2504022,NA,NA,NA,NA,NA,NA,NA,NA
tt3149484,French | Dutch,Documentary | Comedy | Drama,7.2,386,NA,NA,NA,NA
tt3244744,English | French,Documentary,6.7,31,NA,NA,NA,NA
tt3207614,Danish,Documentary | Short,NA,NA,NA,NA,NA,NA
tt2646256,Russian,Documentary | Biography | Drama | Family,6.1,12,NA,NA,NA,NA
tt3399438,NA,NA,NA,NA,NA,NA,NA,NA
tt0230591,English | German,Documentary | History | Sport,7.8,5716,NA,"$15,149, 19 November 2000","$156,818","$156,818"
tt3314488,NA,NA,NA,NA,NA,NA,NA,NA
tt3069992,Polish,Documentary | Short | Drama | Family,7.1,361,NA,NA,NA,NA
tt1992193,NA,NA,NA,NA,NA,NA,NA,NA
tt0984090,Khmer,Documentary,7.2,100,NA,NA,NA,NA
tt4144510,English,Documentary | Short,NA,NA,NA,NA,NA,NA
tt2854564,Portuguese,Documentary | Short | Crime,5.9,30,NA,NA,NA,NA
tt3042474,NA,NA,NA,NA,NA,NA,NA,NA
tt1555206,NA,NA,NA,NA,NA,NA,NA,NA
tt3438704,Chinese,Documentary | Short | Drama,NA,NA,NA,NA,NA,NA
tt2751334,Russian,Documentary | Drama | Music,5.9,27,NA,NA,NA,NA
tt3488218,NA,NA,NA,NA,NA,NA,NA,NA
tt3400550,NA,NA,NA,NA,NA,NA,NA,NA
tt2689366,NA,NA,NA,NA,NA,NA,NA,NA
tt2885624,Japanese,Documentary | Short,8.1,13,NA,NA,NA,NA
tt2539478,NA,NA,NA,NA,NA,NA,NA,NA
tt0462504,NA,NA,NA,NA,NA,NA,NA,NA
tt3199456,Arabic,Documentary | Biography | History | News | War,7.7,999,NA,NA,NA,NA
tt2936362,French | English,Documentary | Biography | Family | Music,7,5,"EUR390,000 (estimated)",NA,NA,NA
tt2401223,English,Documentary | Biography,7.3,1510,NA,NA,NA,NA
tt3461442,NA,NA,NA,NA,NA,NA,NA,NA
tt1596753,English,Documentary,6.7,2487,"$2,000,000 (estimated)","$86,956, 8 September 2013","$583,633","$650,675"
tt1697993,Finnish,Documentary | Short | Biography | Drama,7.3,26,NA,NA,NA,NA
tt3070030,NA,NA,NA,NA,NA,NA,NA,NA
tt2994634,NA,NA,NA,NA,NA,NA,NA,NA
tt3196598,NA,NA,NA,NA,NA,NA,NA,NA
tt4138452,NA,NA,NA,NA,NA,NA,NA,NA
tt3256806,NA,NA,NA,NA,NA,NA,NA,NA
tt0105407,Dutch | English | French,Documentary | Biography,NA,NA,NA,NA,NA,NA
tt3408668,Spanish,Documentary | Drama,8.5,12,NA,NA,NA,NA
tt0062278,Dutch,Documentary | Short,7.2,41,NA,NA,NA,NA
tt3003858,NA,NA,NA,NA,NA,NA,NA,NA
tt2919050,Bulgarian,Documentary | Comedy | Drama | Family,7.3,44,NA,NA,NA,NA
tt3392412,Arabic | Tigrigna | English | Hebrew,Documentary | Crime | War,7.7,55,NA,NA,NA,NA
tt2387601,Italian | German,Documentary,7.4,255,"$500,000 (estimated)",NA,NA,NA
