imdb.id,release.country,release.date,release.venue,thr,digital,tv,dvd.br,unique.id
tt0019760,Soviet Union,8 January 1929,NA,0,0,0,0,idfnew1155
tt0019760,Soviet Union,8 January 1929,Kyiv premiere,1,0,0,0,idfnew1155
tt0019760,Soviet Union,9 April 1929,Moscow premiere,1,0,0,0,idfnew1155
tt0019760,USA,12 May 1929,NA,0,0,0,0,idfnew1155
tt0019760,Germany,July 1929,limited,1,0,0,0,idfnew1155
tt0019760,France,July 1929,Paris) (limited,1,0,0,0,idfnew1155
tt0019760,USA,16 September 1929,"New York City, New York",1,0,0,0,idfnew1155
tt0019760,Netherlands,25 September 1931,Rotterdam,1,0,0,0,idfnew1155
tt0019760,Czechoslovakia,January 1932,Prague,0,0,0,0,idfnew1155
tt0019760,Italy,23 November 1967,Rome,1,0,0,0,idfnew1155
tt0019760,USA,13 October 1969,"Museum Of Modern Art, New York",0,0,0,0,idfnew1155
tt0019760,Greece,19 April 2012,re-release,1,0,0,0,idfnew1155
tt0019760,Denmark,15 November 2012,NA,0,0,0,0,idfnew1155
tt0019760,Germany,9 July 2015,Arsenal Cinema,0,0,0,0,idfnew1155
tt0019760,UK,31 July 2015,British Film Institute,0,0,0,0,idfnew1155
tt0019760,France,28 October 2015,re-release,1,0,0,0,idfnew1155
tt0019760,Uruguay,19 December 2015,NA,0,0,0,0,idfnew1155
tt0019760,UK,18 April 2016,DVD and Blu-ray premiere,0,0,0,1,idfnew1155
tt0019760,Portugal,21 April 2016,re-release) (restored version,1,0,0,0,idfnew1155
tt0023037,Spain,December 1933,NA,0,0,0,0,idfnew1143
tt0023037,France,1937,NA,0,0,0,0,idfnew1143
tt0023037,West Germany,30 January 1963,TV premiere,1,0,1,0,idfnew1143
tt0023037,Finland,8 October 1971,NA,0,0,0,0,idfnew1143
tt0023037,Portugal,13 October 1972,NA,0,0,0,0,idfnew1143
tt0023037,USA,24 May 1973,"Museum Of Modern Art, New York",0,0,0,0,idfnew1143
tt0023037,Argentina,2 November 2000,Ciclo Todo Buñuel,0,0,0,0,idfnew1143
tt0023037,Portugal,12 May 2009,Cinemateca Portuguesa,0,0,0,0,idfnew1143
tt0023037,Portugal,12 July 2019,re-release,1,0,0,0,idfnew1143
tt0024844,France,24 April 1934,limited,1,0,0,0,9576fnosuv
tt0024844,France,14 September 1934,Paris,1,0,0,0,9576fnosuv
tt0024844,Netherlands,14 September 1934,NA,0,0,0,0,9576fnosuv
tt0024844,Belgium,1935,NA,0,0,0,0,9576fnosuv
tt0024844,Algeria,1935,NA,0,0,0,0,9576fnosuv
tt0024844,UK,14 December 1935,London,1,0,0,0,9576fnosuv
tt0024844,France,30 October 1940,re-release,1,0,0,0,9576fnosuv
tt0024844,USA,21 June 1947,NA,0,0,0,0,9576fnosuv
tt0024844,Uruguay,5 October 1950,Centro Gallego,0,0,0,0,9576fnosuv
tt0024844,Sweden,23 March 1957,NA,0,0,0,0,9576fnosuv
tt0024844,Finland,5 October 1962,NA,0,0,0,0,9576fnosuv
tt0024844,Denmark,1 September 1966,NA,0,0,0,0,9576fnosuv
tt0024844,West Germany,2 September 1968,TV premiere,0,0,1,0,9576fnosuv
tt0024844,West Germany,7 November 1971,NA,0,0,0,0,9576fnosuv
tt0024844,East Germany,12 October 1972,TV premiere,0,0,1,0,9576fnosuv
tt0024844,Portugal,23 February 1973,NA,0,0,0,0,9576fnosuv
tt0024844,Portugal,14 March 1974,Porto,0,0,0,0,9576fnosuv
tt0024844,Portugal,8 December 1974,Porto) (Cineclube do Porto,0,0,0,0,9576fnosuv
tt0024844,Finland,5 November 1982,re-release,1,0,0,0,9576fnosuv
tt0024844,Switzerland,6 July 1990,restored version) (French speaking region) (German speaking region,1,0,0,0,9576fnosuv
tt0024844,UK,20 July 1990,restored version,1,0,0,0,9576fnosuv
tt0024844,USA,19 October 1990,restored version,1,0,0,0,9576fnosuv
tt0024844,Portugal,18 February 1991,Cinemateca Portuguesa,0,0,0,0,9576fnosuv
tt0024844,Sweden,10 May 1991,restored version,1,0,0,0,9576fnosuv
tt0024844,Italy,19 July 1991,restored version,1,0,0,0,9576fnosuv
tt0024844,Finland,13 September 1991,restored version,1,0,0,0,9576fnosuv
tt0024844,Japan,15 November 1991,restored version,1,0,0,0,9576fnosuv
