Variable name;Definition of the variable;Units of measurement;Data Source;Coding;Value ranges;Missing data coding;Source of missing values
festival.id;ID identifies each unique festival;festivals;ID was assigned;text data;text data;no missing data;no missing data
fest.name;unique name of a festival;festivals;name is taken from a source used (IMDb and/or survey);name is taken from a source used (IMDb and/or survey);text data;no missing data;no missing data
fest.label;short version of a fest.name for visualisation purposes;festivals;name is taken from a source used (IMDb and/or survey);coded based on fest.name;text data;no missing data;no missing data
fest.name.mixed.alternative.1;alternative name of a festival, if more than one was listed in the used sources;festivals;name is taken from a source used (IMDb and/or survey);name is taken from a source used (IMDb and/or survey);text data;NA - no data available;no alternative names are available
fest.name.mixed.alternative.2;alternative name of a festival, if more than one was listed in the used sources;festivals;name is taken from a source used (IMDb and/or survey);name is taken from a source used (IMDb and/or survey);text data;NA - no data available;no alternative names are available
fest.name.mixed.alternative.3;alternative name of a festival, if more than one was listed in the used sources;festivals;name is taken from a source used (IMDb and/or survey);name is taken from a source used (IMDb and/or survey);text data;NA - no data available;no alternative names are available
fest.name.mixed.alternative.4;alternative name of a festival, if more than one was listed in the used sources;festivals;name is taken from a source used (IMDb and/or survey);name is taken from a source used (IMDb and/or survey);text data;NA - no data available;no alternative names are available
fest.name.mixed.alternative.5;alternative name of a festival, if more than one was listed in the used sources;festivals;name is taken from a source used (IMDb and/or survey);name is taken from a source used (IMDb and/or survey);text data;NA - no data available;no alternative names are available
fest.name.mixed.alternative.6;alternative name of a festival, if more than one was listed in the used sources;festivals;name is taken from a source used (IMDb and/or survey);name is taken from a source used (IMDb and/or survey);text data;NA - no data available;no alternative names are available
fest.location.country.en.1.standrardized;English name of country where the festival takes place;festivals;data are taken from a source used (IMDb and/or survey) and web search;Coded and standardized country name based on the original data in the source;text data;NA - no data available;no country information available 
fest.location.country.en.2.standrardized;English name of country where the festival takes place, if more than one location is possible;festivals;data are taken from a source used (IMDb and/or survey) and web search;Coded and standardized country name based on the original data in the source;text data;NA - no data available;no country information available 
fest.location.country.en.3.standrardized;English name of country where the festival takes place, if more than one location is possible;festivals;data are taken from a source used (IMDb and/or survey) and web search;Coded and standardized country name based on the original data in the source;text data;NA - no data available;no country information available 
fest.location.country.en.4.standrardized;English name of country where the festival takes place, if more than one location is possible;festivals;data are taken from a source used (IMDb and/or survey) and web search;Coded and standardized country name based on the original data in the source;text data;NA - no data available;no country information available 
fest.location.country.en.5.standrardized;English name of country where the festival takes place, if more than one location is possible;festivals;data are taken from a source used (IMDb and/or survey) and web search;Coded and standardized country name based on the original data in the source;text data;NA - no data available;no country information available 
event.country.region;Indicator if a country where festival takes place in a given year belongs to a certain region based on https://datahelpdesk.worldbank.org/knowledgebase/articles/906519-world-bank-country-and-lending-groups;festivals;data are taken from a source used (IMDb and/or survey) and web search;Coded and standardized country name based on the original data in the source ;, Europe, Latin America and Caribbean, MENA, North America, Oceania, Subsaharan Africa;NA - no data available;no country information available 
fest.location.city.en.1;city where the festival takes place;festivals;data are taken from a source used (IMDb and/or survey) and web search;city name (not standardized, as reported in a source);text data;NA - no data available;no city information available 
fest.location.city.en.2;second (if more than one location) where the festival takes place;festivals;data are taken from a source used (IMDb and/or survey) and web search;city name (not standardized, as reported in a source);text data;NA - no data available;no city information available 
fest.location.city.en.3;third (if more than one location) city where the festival takes place;festivals;data are taken from a source used (IMDb and/or survey) and web search;city name (not standardized, as reported in a source);text data;NA - no data available;no city information available 
fest.location.city.en.4;fourth (if more than one location) city where the festival takes place;festivals;data are taken from a source used (IMDb and/or survey) and web search;city name (not standardized, as reported in a source);text data;NA - no data available;no city information available 
fest.location.city.en.5;fifth (if more than one location) city where the festival takes place;festivals;data are taken from a source used (IMDb and/or survey) and web search;city name (not standardized, as reported in a source);text data;NA - no data available;no city information available 
month.start;month, when the festival usually takes place (if it lasts for two months, the first month);festivals;data are taken from a source used (IMDb and/or survey) and web search;month, when the festival usually takes place (for most edditions in the dataset);01. Dec;NA - no data available;no information on month is available
extr.eval.bmbf.20.prc;variable that indicates if a festival is listed in at least 20 % of the sources collected within the BMBF project;festivals;variable that indicates if a festival is listed in at least 20 % of the sources collected within the BMBF project;lower than 20 percent - if a festival is listed in less than 20 % of the sources, at least 20 percent - if a festival is listed in at least 20 % of the sources or more;lower than 20 percent, at least 20 percent;no missing data;no missing data
extr.eval.fiapf;variable that indicates accreditation of a festival by FIAPF ;festivals;variable that indicates accreditation of a festival by FIAPF;categories used by FIAPF;competitive film festival, competitive specialised film festival, documentary and short film festival, non-competitive film festival, no fiapf accreditation;no missing data;no missing data
extr.eval.bafta;Variable that indicates accreditation by BAFTA;festivals;variable that indicates accreditation of a festival by BAFTA;1 - festival accredited by BAFTA, 0 - festival is not accredited by BAFTA;0-1;no missing data;no missing data
extr.eval.academy.awards;Variable that indicates accreditation by Academy Awards;festivals;variable that indicates accreditation of a festival by Academy Awards;1 - festival accredited by Academy Awards, 0 - festival is not accredited by Academy Awards;0-1;no missing data;no missing data
found.year;foundation year of the festival;festivals;identified with the help of the web search within 2019-2022;numeric data ;1932-2019;NA - no data available;no data on foundation year was identified
source.not.website;variable indicates, if the main source is not a festival website or other additional web sources were used ;festivals;variable indicates, if the main source is not a festival website or other additional web sources were used ;text data;text data;NA - no data available;only a festival website as a source was used
not.exist.bin;variable indicates, if search on the web could not confirm that the festival still exists ;festivals;variable indicates, if search on the web could not confirm that the festival still exists as of 2022;1 - no data on still existing was found on the web, 0 - festival might exist as of 2022 (have further editions);0-1;no missing data;no missing data
not.exist;if a festival no longer exists, the last year edition;festivals;identified with the help of the web search within 2019-2022;if a festival no longer exists and there is data on the last edition, values include the year, otherwise - NA;1983-2019;NA - no data available;no data on foundation year was identified
not.ident;indicator if a festival could not be identified on the web based on the provided information such as title, location, and date (e.g., several festivals fit the description );festivals;identified with the help of the web search within 2019-2022;1 - cannot be identified on the web, 0 - was identified on the web;0-1;no missing data;no missing data
not.found;indicator if a festival could not be found on the web based on the provided information such as title, location, and date (e.g., it might be that the festival is so small that it is not visible online);festivals;identified with the help of the web search within 2019-2022;1 - was not found on the web, 0 - was found on the web;0-1;no missing data;no missing data
festival.lgbtq;variable that indicates, if a festival has specialisation on LGBT*Q;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.women;variable that indicates, if a festival has specialisation on showing films about women and/or with a focus on women filmmakers;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.black;variable that indicates, if a festival has specialisation on showing films about Black/African-diasporic identities/communities and/or with a focus on Black/African-diasporic filmmakers;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.jewish;variable that indicates, if a festival has specialisation on showing films about Jewish identities/communities and/or with a focus on Jewish filmmakers;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.asian;variable that indicates, if a festival has specialisation on showing films about Asian/Asian-diasporic identities/communities and/or with a focus on Asian/Asian-diasporic filmmakers;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.latino;variable that indicates, if a festival has specialisation on showing films about Latinx identities/communities and/or with a focus on Latinx filmmakers;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.other.identity;variable that indicates, if a festival has specialisation on showing films about other ethnic, cultural, racial identities, but that could be classified as diasporic ;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.film.noir;variable that indicates, if a festival has specialisation on film noir;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.genre;variable that indicates, if a festival has specialisation on genre films in general, without specific subcategory ;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.classics;variable that indicates, if a festival has specialisation on film classics;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.underground;variable that indicates, if a festival has specialisation on underground film;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.arthouse;variable that indicates, if a festival has specialisation on arthouse film;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.independent;variable that indicates, if a festival has specialisation on independent film;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.trash;variable that indicates, if a festival has specialisation on trash film;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.science;variable that indicates, if a festival has specialisation on films with a focus on science;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.historical;variable that indicates, if a festival has specialisation on films with a focus on history and biographies;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
