festival.id;fest.name;fest.label;fest.name.mixed.alternative.1;fest.name.mixed.alternative.2;fest.name.mixed.alternative.3;fest.name.mixed.alternative.4;fest.name.mixed.alternative.5;fest.name.mixed.alternative.6;fest.location.country.en.1.standrardized;fest.location.country.en.2.standrardized;fest.location.country.en.3.standrardized;fest.location.country.en.4.standrardized;fest.location.country.en.5.standrardized;event.country.region;fest.location.city.en.1;fest.location.city.en.2;fest.location.city.en.3;fest.location.city.en.4;fest.location.city.en.5;month.start;extr.eval.bmbf.20.prc;extr.eval.fiapf;extr.eval.bafta;extr.eval.academy.awards;found.year;source.not.website;not.exist.bin;not.exist;not.ident;not.found;festival.lgbtq;festival.women;festival.black;festival.jewish;festival.asian;festival.latino;festival.other.identity;festival.film.noir;festival.genre;festival.classics;festival.underground;festival.arthouse;festival.independent;festival.trash;festival.science;festival.historical;festival.war;festival.crime;festival.comedy;festival.action;festival.food.wine;festival.animation;festival.archival;festival.documentary;festival.experimental;festival.silent;festival.children.youth;festival.up.and.coming;festival.debut;festival.short.film;festival.screenplay;festival.video;festival.disability;festival.human.rights;festival.indigenous;festival.education.genre;festival.mental.health;festival.student;festival.diaspora;festival.transnational;festival.national;festival.region;festival.online;festival.tv;festival.series;festival.random.fun.themes;festival.porn.erotic;festival.ethnographic.anthropological;festival.environmental.nature;festival.fantasy.horror.thriller.scifi;website;festival.random.fun.themes.cat;specialisation;source
fest.lib.id.ch1786;london film festival;london;london film festival;london film festival;NA;NA;NA;NA;United Kingdom;NA;NA;NA;NA;Europe;london;NA;NA;NA;0;10;0;no fiapf accreditation;0;0;1956;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.ch1897;interfilm international short film festival berlin;interfilm international short berlin;interfilm international short film festival;interfilm international short film festival berlin;NA;NA;NA;NA;Germany;NA;NA;NA;NA;Europe;berlin;NA;NA;NA;0;11;0;no fiapf accreditation;0;0;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.ch615;international documentary film festival cronograf;international documentary cronograf;cronograf international documentary festival;international documentary film festival cronograf;cronograf international documentary festival;cronograf international documentary film festival;NA;NA;Moldova;NA;NA;NA;NA;Europe;chisinau;NA;NA;NA;0;5;0;no fiapf accreditation;0;0;2001;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.ch859;inside out ottawa lgbt film festival;inside out ottawa lgbt;inside out lgbt film festival;inside out ottawa lgbt film festival;NA;NA;NA;NA;Canada;NA;NA;NA;NA;North America;ottawa;NA;NA;NA;0;10;0;no fiapf accreditation;0;0;2007;0;0;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.na.ch163;festival du film francophone d'angouleme;du francophone d'angouleme;festival du film francophone d'angoulÃªme;festival du film francophone d'angouleme;NA;NA;NA;NA;France;NA;NA;NA;NA;Europe;angoulÃªme;NA;NA;NA;0;8;0;no fiapf accreditation;0;0;2008;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na.ch170;jovenes realizadores ciudad de castellon;jovenes realizadores ciudad de castellon;jÃºvenes realizadores ciudad de castellÃ¡n;jovenes realizadores ciudad de castellon;NA;NA;NA;NA;Spain;NA;NA;NA;NA;Europe;castellon de la plana;NA;NA;NA;0;NA;0;no fiapf accreditation;0;0;NA;0;0;NA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na.ch323;mumia;mumia;mumia underground world animation film festival;mumia;mumia underground world animation festival;NA;NA;NA;Brazil;NA;NA;NA;NA;Latin America and Caribbean;belo horizonte;NA;NA;NA;0;12;0;no fiapf accreditation;0;0;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.na.ch43;bergen international film festival;bergen international;bergen international film festival;bergen international film festival;NA;NA;NA;NA;Norway;NA;NA;NA;NA;Europe;bergen;NA;NA;NA;0;9;0;no fiapf accreditation;0;0;2000;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na1;2morrow film festival;2morrow;2morrow film festival;2morrow film festival;NA;NA;NA;NA;Russia;NA;NA;NA;NA;Europe;moscow;NA;NA;NA;0;10;0;no fiapf accreditation;0;0;2007;https://www.facebook.com/2morrowfilmfestival/;1;2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na10;amnesty film festival;amnesty;amnesty international film festival;amnesty film festival;amnesty international film festival;NA;NA;NA;Japan;NA;NA;NA;NA;Asia;tokyo;NA;NA;NA;0;1;0;no fiapf accreditation;0;0;NA;(https://www.timeout.com/tokyo/film/amnesty-film-festival-2013) und 2017 (https://www.yidff.jp/links/links4-e.html);1;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.na100;columbus international film + video festival;columbus international + video;columbus international film and video festival;columbus international film + video festival;columbus international film and video festival;NA;NA;NA;United States;NA;NA;NA;NA;North America;columbus, oh;NA;NA;NA;0;11;0;no fiapf accreditation;0;0;1952;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na101;commonwealth film festival;commonwealth;commonwealth film festival;commonwealth film festival;NA;NA;NA;NA;United Kingdom;NA;NA;NA;NA;Europe;london;NA;NA;NA;0;4;0;no fiapf accreditation;0;0;2018;0;0;NA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na102;contis film festival;contis;contis film festival;contis film festival;NA;NA;NA;NA;France;NA;NA;NA;NA;Europe;various;NA;NA;NA;0;6;0;no fiapf accreditation;0;0;1996;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na103;courmayeur noir in festival;courmayeur noir in;courmayeur noir in festival;courmayeur noir in festival;NA;NA;NA;NA;Italy;NA;NA;NA;NA;Europe;"como; milano";NA;NA;NA;0;12;0;competitive specialised film festival;0;0;1991;0;0;NA;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;NA;NA;1;0
fest.lib.id.na104;courts devant festival;courts devant;courts devant festival;courts devant festival;paris courts devant;NA;NA;NA;France;NA;NA;NA;NA;Europe;paris;NA;NA;NA;0;11;0;no fiapf accreditation;0;0;2006;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.na106;croq'anime festival;croq'anime;croq'anime festival;croq'anime festival;Festival du Film d'Animation de Paris;NA;NA;NA;France;NA;NA;NA;NA;Europe;paris;NA;NA;NA;0;9;0;no fiapf accreditation;0;0;2008;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.na107;czech film week;czech week;czech film week;czech film week;NA;NA;NA;NA;Israel;NA;NA;NA;NA;MENA;"tel aviv; jerusalem";NA;haifa;sderot;0;8;0;no fiapf accreditation;0;0;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na108;czech that film;czech that;czech that film;czech that film;NA;NA;NA;NA;United States;Canada;NA;NA;NA;North America;various;NA;NA;NA;0;4;0;no fiapf accreditation;0;0;2012;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na109;czech-slovak film carnivale;czech-slovak carnivale;czech-slovak film carnivale;czech-slovak film carnivale;NA;NA;NA;NA;Hungary;NA;NA;NA;NA;Europe;NA;NA;NA;NA;0;2;0;no fiapf accreditation;0;0;NA;0;0;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na11;amsterdam film week;amsterdam week;amsterdam film week;amsterdam film week;NA;NA;NA;NA;Netherlands;NA;NA;NA;NA;Europe;amsterdam;NA;NA;NA;0;10;0;no fiapf accreditation;0;0;NA;0;0;NA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
