film_id,filmrank,premiere_festival,premiere_year,premiere_festival_filmrank,played_strategic,num_strategic,max_strategic_filmrank,avg_strategic_filmrank,played_top5_festival,played_top10_festival,num_top5_festivals,num_top10_festivals
tffnew1113,0.05694217789683718,fest.lib.id285,2014,0.39801347663094955,0,0,0,0,1,1,3,4
428,0.04456170602029878,fest.lib.id1736,2013,1.0,0,0,0,0,1,1,3,3
tffnew2000,0.009336977626214061,fest.lib.id1736,2016,1.0,0,0,0,0,1,1,1,1
frnew108,0.028563715413081954,fest.lib.id1148,2011,0.021450340112936533,0,0,0,0,0,1,0,1
idfnew825,0.04172901950260501,fest.lib.id.na240,2014,0.06203455950095228,0,0,0,0,0,0,0,0
f17433,0.029492125294904532,fest.lib.id1888,2015,0.9014664491525963,0,0,0,0,1,1,2,2
tffnew176,0.009336977626214061,fest.lib.id1736,2011,1.0,0,0,0,0,1,1,1,1
f8253,0.06120056559408781,fest.lib.id1888,2017,0.9014664491525963,0,0,0,0,1,1,1,2
745,0.036175349682489144,fest.lib.id1888,2013,0.9014664491525963,0,0,0,0,1,1,1,1
frnew760,0.04242176020630449,fest.lib.id665,2015,0.318359506181511,0,0,0,0,0,1,0,1
idfnew1797,0.008532319332021776,fest.lib.id942,1999,0.049190127422426844,0,0,0,0,0,0,0,0
f17153,0.032439261572356375,fest.lib.id.na254,2014,0.04316572433830646,0,0,0,0,0,1,0,1
N1501476,0.011219045524521635,fest.lib.id364,2015,0.6039825158473134,0,0,0,0,1,1,1,1
f9293,0.03163850264145672,fest.lib.id285,2016,0.39801347663094955,0,0,0,0,1,1,1,2
frnew416,0.010470746031531416,fest.lib.id665,2012,0.318359506181511,0,0,0,0,0,1,0,1
frnew1089,0.010470746031531416,fest.lib.id665,2017,0.318359506181511,0,0,0,0,0,1,0,1
tffnew2099,0.009534060237688663,fest.lib.id117,2016,0.039048634073661166,0,0,0,0,0,0,0,0
9052fnosuv,0.023698697275215442,fest.lib.id285,2011,0.39801347663094955,0,0,0,0,1,1,1,2
f16606,0.016319603212346136,fest.lib.id1888,2011,0.9014664491525963,0,0,0,0,1,1,1,1
idfnew594,0.009383812781205814,fest.lib.id5985,2013,0.00898466802132393,0,0,0,0,0,0,0,0
frnew471,0.02970144657132238,fest.lib.id1768,2014,0.07352724707497833,0,0,0,0,0,1,0,2
tffnew1983,0.01561700988778541,fest.lib.id1736,2016,1.0,0,0,0,0,1,1,2,2
tffnew153,0.0362621920378876,fest.lib.id1808,2011,0.1145501607898263,0,0,0,0,1,1,1,1
tffnew1674,0.06940334483325081,fest.lib.id1808,2015,0.1145501607898263,0,0,0,0,1,1,2,4
tffnew1439,0.030334066263831835,fest.lib.id1736,2014,1.0,0,0,0,0,1,1,1,3
84,0.03591104123050071,fest.lib.id285,2013,0.39801347663094955,0,0,0,0,1,1,2,2
idfnew1195,0.012358752091091399,fest.lib.id874,2015,0.5062687909078113,0,0,0,0,1,1,1,2
987,0.016989040225274744,fest.lib.id285,1967,0.39801347663094955,0,0,0,0,1,1,3,3
f17305,0.009940784625779017,fest.lib.id1888,2014,0.9014664491525963,0,0,0,0,1,1,1,1
f9314,0.009298203289242048,fest.lib.id285,2016,0.39801347663094955,0,0,0,0,1,1,1,1
frnew1028,0.023782984752641404,fest.lib.id364,2016,0.6039825158473134,0,0,0,0,1,1,1,2
idfnew1855,0.037269944118533564,fest.lib.id1737,2017,0.027546812998660877,0,0,0,0,1,1,1,2
9206fnosuv,0.08003726968499525,fest.lib.id285,2014,0.39801347663094955,0,0,0,0,1,1,2,5
f8022,0.023410352800674796,fest.lib.id1888,2016,0.9014664491525963,0,0,0,0,1,1,1,1
596,0.03201944947449647,fest.lib.id1535,1975,0.08500246471603438,0,0,0,0,1,1,1,1
